,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_One year,Contract_Two year,Churn
6993,1,1,0,50,1,1,0,1,0,0,1,0,1,88.05,4367.35,0,1,0,0,0,1,0,0,0,1
1115,0,0,0,39,1,1,0,0,0,1,0,0,1,53.85,2200.7,1,0,0,0,1,0,0,0,1,0
658,0,1,1,2,1,0,0,0,0,0,0,0,0,19.85,35.9,1,0,1,0,0,0,1,1,0,1
3397,0,1,0,68,1,1,1,1,1,1,1,1,1,91.7,6424.7,0,0,0,0,0,1,0,0,1,0
712,0,0,0,58,1,1,0,0,0,0,0,0,1,24.7,1519.0,0,0,1,0,1,0,0,0,1,0
1117,0,0,0,52,1,1,0,0,1,0,0,1,1,89.45,4577.75,1,1,0,0,1,0,0,0,1,0
1650,0,0,0,1,1,1,0,0,0,0,0,1,0,85.8,85.8,0,1,0,0,0,0,1,0,0,1
4015,0,0,0,36,1,1,1,0,0,0,0,0,0,54.45,1893.5,0,0,0,0,0,0,1,1,0,0
116,0,0,0,36,0,0,1,0,0,0,0,0,0,31.05,1126.35,0,0,0,1,0,0,0,0,1,0
4937,0,0,0,36,1,0,1,1,1,1,1,0,1,76.35,2606.35,0,0,0,0,0,0,1,1,0,0
2094,0,0,0,18,1,0,0,0,0,0,0,0,0,19.65,391.7,0,0,1,0,0,0,1,0,0,0
1032,1,0,0,8,1,0,0,0,1,0,1,1,1,92.1,729.95,0,1,0,0,0,1,0,0,0,1
5359,1,0,0,10,0,0,0,0,0,1,0,0,1,29.65,291.4,0,0,0,0,0,1,0,0,0,1
4749,0,0,0,5,1,0,0,0,0,1,0,0,1,49.2,216.9,1,0,0,0,0,1,0,0,0,1
2101,0,1,0,37,1,1,1,0,1,1,0,1,1,99.2,3754.6,0,1,0,0,0,1,0,1,0,1
6452,0,0,0,15,1,1,1,0,0,0,1,0,1,87.75,1242.2,1,1,0,1,0,0,0,0,0,0
3025,0,1,1,67,1,1,0,0,0,0,0,0,0,26.3,1688.9,1,0,1,0,0,0,1,0,1,0
5952,0,0,1,4,1,1,0,0,0,0,0,0,1,25.45,84.2,0,0,1,0,0,0,1,0,0,0
4887,0,1,1,38,1,0,0,0,0,0,0,0,0,20.45,781.25,0,0,1,0,0,0,1,0,0,0
2670,0,1,1,51,1,1,1,0,0,1,1,0,1,95.15,5000.05,0,1,0,0,0,0,1,1,0,0
6817,0,1,0,72,1,1,0,0,0,0,0,0,0,25.85,1872.2,1,0,1,0,1,0,0,0,1,0
462,0,1,1,4,1,1,0,0,1,0,1,1,0,101.15,385.9,1,1,0,0,0,1,0,0,0,1
785,1,0,0,46,1,1,1,1,1,0,1,1,1,110.0,4874.8,0,1,0,0,0,1,0,1,0,1
3813,0,1,1,69,1,1,0,1,1,0,1,1,1,105.0,7297.75,1,1,0,0,0,1,0,0,1,0
2779,0,0,0,9,1,1,0,0,0,0,1,0,1,85.35,758.6,1,1,0,0,0,1,0,0,0,1
340,1,0,0,32,1,0,0,1,0,1,0,0,0,54.65,1830.1,0,0,0,1,0,0,0,0,0,0
1064,0,0,0,14,1,0,1,0,0,1,0,0,0,55.7,795.15,0,0,0,0,0,0,1,1,0,0
1018,0,0,0,4,0,0,0,0,0,1,0,1,1,40.05,162.45,1,0,0,0,0,1,0,0,0,0
1191,0,1,1,35,1,1,1,1,1,1,0,0,1,69.15,2490.15,1,0,0,0,1,0,0,0,1,0
5660,0,0,1,44,1,1,0,1,0,0,1,1,1,77.55,3471.1,0,0,0,0,0,0,1,1,0,0
5027,1,1,0,10,1,1,0,0,0,0,0,1,0,85.55,851.75,1,1,0,0,0,1,0,0,0,1
6035,1,1,0,66,1,1,0,1,1,1,1,1,1,110.85,7491.75,1,1,0,0,0,1,0,1,0,1
1820,0,1,0,6,1,0,0,0,0,0,0,0,0,45.65,323.45,0,0,0,0,0,0,1,0,0,0
4784,0,0,0,1,1,0,0,0,0,0,0,0,1,19.55,19.55,0,0,1,0,0,0,1,0,0,0
1231,0,0,0,20,1,0,1,0,1,0,0,1,0,64.4,1398.6,1,0,0,0,1,0,0,0,0,0
660,0,0,0,4,0,0,0,0,0,0,0,0,1,24.25,96.05,0,0,0,0,0,0,1,0,0,1
4178,0,1,1,68,0,0,1,1,1,1,0,1,1,56.4,3948.45,1,0,0,0,0,0,1,0,1,0
1084,0,1,1,52,1,0,0,0,0,0,0,0,0,19.6,1012.4,0,0,1,0,1,0,0,1,0,0
710,0,0,0,1,1,0,0,0,0,0,0,0,0,19.55,19.55,1,0,1,0,0,0,1,0,0,1
376,0,0,0,1,0,0,0,0,0,0,0,0,0,25.35,25.35,1,0,0,0,0,0,1,0,0,0
6668,0,0,0,38,1,1,0,0,1,1,1,1,1,103.65,3988.5,0,1,0,0,0,1,0,0,0,0
6708,1,0,0,14,1,1,0,0,0,0,0,0,1,74.3,1096.25,0,1,0,0,0,1,0,0,0,1
4199,0,1,0,55,1,1,0,0,1,1,1,1,1,104.15,5743.05,1,1,0,0,0,1,0,1,0,1
944,0,1,1,54,1,1,1,1,0,0,1,1,1,104.1,5645.8,0,1,0,1,0,0,0,0,0,0
1208,0,0,0,1,1,0,0,0,0,0,1,0,1,80.25,80.25,0,1,0,0,0,1,0,0,0,1
6814,1,1,0,57,1,1,0,1,1,0,0,1,0,94.0,5438.95,0,1,0,0,1,0,0,0,0,0
6879,0,1,0,21,1,0,0,0,0,1,1,0,1,86.05,1818.9,0,1,0,0,0,1,0,0,0,0
51,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,0,1,0,0,1,0,0,0,0,1
2449,0,1,1,11,1,0,0,0,1,0,1,0,1,59.65,683.25,1,0,0,1,0,0,0,0,0,0
5864,0,1,0,47,1,0,0,0,0,0,0,0,0,19.65,921.55,0,0,1,1,0,0,0,0,1,0
1631,1,1,0,17,1,1,1,0,1,0,0,0,1,85.35,1463.45,0,1,0,1,0,0,0,0,0,1
74,0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,177.4,0,0,0,1,0,0,0,0,0,0
2461,0,0,0,70,1,0,0,0,0,0,0,0,0,19.7,1341.5,0,0,1,1,0,0,0,1,0,0
5754,0,1,1,22,1,0,0,0,0,0,0,0,0,19.05,454.05,0,0,1,1,0,0,0,0,0,0
3547,1,1,0,70,1,1,1,1,1,1,1,1,0,90.05,6333.4,1,0,0,0,1,0,0,0,1,0
4871,0,1,1,58,1,0,0,1,0,1,1,1,1,75.2,4300.8,1,0,0,0,1,0,0,1,0,0
4349,1,1,0,1,1,1,1,0,0,0,0,0,1,80.3,80.3,1,1,0,0,0,1,0,0,0,1
6297,0,1,1,64,1,1,1,1,1,1,1,1,0,113.35,7222.75,0,1,0,0,0,1,0,1,0,0
3530,0,0,0,17,1,1,0,0,1,1,1,0,1,69.0,1108.0,0,0,0,0,0,0,1,0,0,0
482,1,0,0,20,1,0,0,0,0,0,0,1,1,81.45,1671.6,0,1,0,0,0,1,0,0,0,0
5562,1,1,0,56,1,1,0,0,0,1,0,0,1,76.85,4275.75,0,1,0,1,0,0,0,0,0,0
684,0,0,0,1,1,0,0,0,0,0,0,0,0,71.1,71.1,0,1,0,0,0,0,1,0,0,0
484,0,1,1,8,1,0,0,1,0,0,1,0,1,83.55,680.05,0,1,0,0,0,1,0,0,0,1
2972,0,1,1,72,0,0,1,1,1,1,1,1,1,65.25,4478.85,1,0,0,0,1,0,0,0,1,0
1920,0,1,0,22,1,0,0,0,0,0,0,0,1,20.45,471.55,1,0,1,1,0,0,0,0,0,0
3174,0,1,0,58,0,0,0,0,0,0,1,1,1,45.0,2689.35,1,0,0,0,1,0,0,1,0,0
5405,0,0,1,34,1,1,1,1,0,0,1,1,1,103.8,3470.8,1,1,0,0,0,1,0,1,0,0
5658,0,1,0,24,1,1,0,0,0,0,1,1,1,93.0,2248.05,1,1,0,0,0,1,0,0,0,0
6476,0,1,1,53,1,1,1,1,0,1,0,0,0,64.15,3491.55,1,0,0,1,0,0,0,1,0,0
4392,0,1,1,1,1,0,0,0,0,0,0,0,0,19.2,19.2,1,0,1,0,0,0,1,0,0,0
6048,1,1,0,29,1,1,0,0,0,0,1,1,1,94.45,2653.65,1,1,0,0,0,1,0,0,0,1
1053,0,0,0,5,0,0,0,0,1,0,0,1,0,39.5,210.75,0,0,0,0,0,1,0,0,0,1
355,0,0,0,10,1,0,0,0,0,0,0,1,1,80.25,846.0,0,1,0,1,0,0,0,0,0,1
6833,1,0,0,18,1,1,0,1,0,1,1,1,1,103.6,1806.35,0,1,0,0,1,0,0,0,0,0
5807,0,0,0,57,1,0,0,0,0,0,0,0,0,18.8,1094.35,1,0,1,0,1,0,0,0,1,0
1944,0,0,1,8,0,0,0,0,0,0,0,0,0,25.5,215.2,1,0,0,0,0,0,1,0,0,1
5976,0,0,0,29,0,0,0,1,0,1,0,0,0,34.3,1004.75,1,0,0,0,0,1,0,0,0,0
2577,0,0,0,1,1,1,0,0,0,0,1,1,1,94.6,94.6,0,1,0,0,0,1,0,0,0,1
6195,0,0,0,4,1,1,0,0,0,0,0,0,1,72.2,305.55,1,1,0,1,0,0,0,0,0,1
6319,1,1,0,54,0,0,0,0,0,0,0,0,1,24.95,1364.75,1,0,0,1,0,0,0,0,0,0
1026,1,0,0,8,1,1,0,0,1,0,1,1,1,100.6,819.4,1,1,0,0,0,1,0,0,0,1
235,0,0,0,2,1,1,0,1,0,0,0,0,1,54.4,114.1,1,0,0,0,0,0,1,0,0,1
1154,0,1,1,45,1,1,0,0,0,0,0,0,1,24.65,1138.8,0,0,1,1,0,0,0,0,1,0
2380,0,1,1,60,1,1,0,1,0,1,1,1,1,103.75,5969.95,1,1,0,1,0,0,0,0,0,0
6095,0,0,0,4,1,0,0,0,0,0,0,0,1,19.65,67.55,1,0,1,0,0,0,1,0,0,0
1132,1,1,0,11,1,1,0,0,1,1,1,1,1,104.05,1133.65,0,1,0,1,0,0,0,0,0,1
5370,0,1,1,16,1,1,0,0,1,0,1,0,1,90.8,1442.2,1,1,0,1,0,0,0,0,0,0
4046,0,0,0,44,1,1,0,0,0,0,0,0,1,50.15,2139.1,0,0,0,0,0,0,1,0,0,0
5599,0,1,0,9,1,0,0,1,1,1,1,0,1,94.85,890.6,1,1,0,0,0,0,1,0,0,1
5043,1,0,0,19,1,1,1,0,0,0,1,0,1,90.6,1660.0,1,1,0,0,0,1,0,0,0,1
5905,0,0,0,1,1,0,0,1,0,0,0,1,1,85.0,85.0,1,1,0,0,0,1,0,0,0,0
6953,1,0,0,13,1,1,0,0,0,0,0,1,1,82.0,1127.2,0,1,0,0,0,1,0,0,0,1
6900,1,0,0,51,1,0,0,0,1,0,1,1,1,94.0,4905.75,1,1,0,1,0,0,0,1,0,0
3401,0,0,0,56,1,0,0,0,0,0,0,0,1,19.55,1080.55,0,0,1,1,0,0,0,0,1,0
5456,0,0,0,13,0,0,0,1,0,0,0,0,1,31.05,347.25,0,0,0,0,0,1,0,0,0,1
6696,0,0,0,5,1,1,0,1,1,0,0,1,0,96.55,500.1,1,1,0,0,0,1,0,0,0,0
2428,0,0,1,38,1,1,0,0,1,0,1,1,1,99.25,3777.15,1,1,0,1,0,0,0,0,0,1
3871,0,0,0,3,1,1,0,0,1,0,1,1,1,101.55,298.35,1,1,0,1,0,0,0,0,0,1
1148,0,0,0,2,1,1,0,0,0,0,1,1,1,95.15,196.9,0,1,0,0,0,1,0,0,0,1
5904,0,0,0,70,1,1,0,1,0,0,1,1,0,98.9,6838.6,0,1,0,0,0,1,0,1,0,0
5067,0,1,1,30,1,0,1,0,0,1,0,1,0,66.3,1923.5,0,0,0,1,0,0,0,0,0,0
3698,0,0,0,59,1,1,0,1,1,0,0,0,1,83.25,4949.1,0,1,0,0,0,1,0,0,0,0
5080,0,1,0,67,1,1,0,1,1,0,0,1,1,93.15,6368.2,1,1,0,0,0,1,0,0,1,0
1033,0,1,0,62,1,1,0,0,0,0,0,0,0,23.65,1416.75,0,0,1,1,0,0,0,0,1,0
1446,0,0,1,1,1,1,0,0,0,0,0,0,1,50.05,50.05,1,0,0,0,0,1,0,0,0,0
4795,0,1,0,53,1,0,0,0,0,0,0,0,0,20.8,1021.8,0,0,1,1,0,0,0,1,0,1
2997,1,1,0,69,1,1,0,1,0,0,1,0,1,89.95,6143.15,1,1,0,0,0,1,0,0,0,1
6625,1,0,0,12,1,1,0,1,0,0,1,0,1,91.3,1094.5,0,1,0,0,0,1,0,0,0,1
2316,0,0,0,4,1,0,0,0,0,0,0,0,0,20.7,73.05,1,0,1,0,0,0,1,0,0,0
6298,0,1,1,46,1,1,0,1,0,0,0,0,1,80.0,3769.7,1,1,0,1,0,0,0,0,0,0
4838,0,1,0,67,1,1,0,1,1,1,1,1,1,109.7,7344.45,0,1,0,0,1,0,0,1,0,0
16,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,0,1,0,0,0,1,1,0,0
3473,0,1,0,42,1,1,0,0,1,1,1,1,1,106.15,4512.7,1,1,0,1,0,0,0,0,0,1
3864,0,0,0,30,1,1,0,1,0,0,1,1,1,100.2,2983.8,0,1,0,0,0,1,0,0,0,1
3719,0,0,0,28,1,0,0,0,0,0,0,0,0,18.25,534.7,1,0,1,0,1,0,0,1,0,0
5072,1,1,0,23,1,1,0,1,1,0,1,1,1,104.45,2184.85,1,1,0,0,0,1,0,0,0,0
1458,0,0,0,1,1,0,0,0,0,0,0,0,0,20.55,20.55,1,0,1,0,0,1,0,0,0,1
4879,1,0,0,46,1,1,0,0,1,1,0,1,1,69.1,3255.35,0,0,0,0,1,0,0,1,0,0
2058,0,0,0,72,1,1,1,1,1,1,1,1,0,86.65,6224.8,1,0,0,1,0,0,0,0,1,0
3287,0,1,1,19,1,1,0,0,0,1,1,1,1,100.95,1875.55,1,1,0,0,0,1,0,1,0,1
143,0,0,0,64,1,1,1,1,0,0,0,0,1,84.3,5289.05,1,1,0,0,1,0,0,1,0,0
573,0,1,0,56,1,1,0,1,0,0,1,1,0,100.3,5614.45,1,1,0,0,1,0,0,1,0,1
3403,0,0,0,4,1,0,0,0,0,0,0,0,0,20.45,82.85,0,0,1,0,1,0,0,0,0,0
6180,1,0,0,66,1,1,1,0,0,0,1,1,1,102.4,6471.85,0,1,0,1,0,0,0,0,1,0
2308,0,1,1,71,1,0,1,1,1,0,1,1,1,104.65,7288.4,1,1,0,1,0,0,0,1,0,0
986,0,0,0,12,1,0,0,0,0,0,0,0,0,43.8,540.95,0,0,0,1,0,0,0,0,0,0
1544,0,1,0,30,1,0,0,0,1,0,0,0,1,50.0,1474.9,1,0,0,0,0,0,1,0,0,0
433,0,0,0,12,1,0,0,0,0,0,0,0,1,45.4,518.9,1,0,0,1,0,0,0,0,0,1
1245,1,1,0,23,1,0,0,0,0,0,1,1,1,90.45,2117.25,1,1,0,0,0,1,0,0,0,0
919,0,0,0,21,1,0,0,1,1,1,1,1,1,104.55,2239.4,0,1,0,0,0,0,1,1,0,0
6821,0,0,0,18,1,1,0,0,0,1,1,1,1,99.85,1776.95,0,1,0,1,0,0,0,0,0,1
4121,1,1,0,27,1,1,0,1,1,0,0,1,1,95.55,2510.2,1,1,0,0,0,1,0,0,0,1
2986,0,1,1,55,1,0,0,0,0,0,0,0,1,69.05,3842.6,0,1,0,0,1,0,0,0,1,0
1980,0,0,0,10,1,1,0,1,1,0,0,1,1,95.25,1021.55,1,1,0,0,0,1,0,0,0,0
3708,0,0,0,11,1,0,0,0,0,0,0,0,0,20.4,231.45,1,0,1,0,0,0,1,0,1,0
2758,0,0,0,5,1,0,0,0,0,0,0,0,0,20.25,109.8,1,0,1,0,0,0,1,0,0,0
1775,1,0,0,65,1,1,1,0,1,1,1,1,1,109.05,7108.2,1,1,0,0,0,1,0,0,1,0
784,0,0,1,63,0,0,1,1,0,1,0,0,1,40.6,2588.95,1,0,0,1,0,0,0,1,0,0
797,0,1,1,20,1,1,0,0,0,0,0,0,1,25.55,507.4,0,0,1,1,0,0,0,0,0,0
2861,0,0,0,1,1,0,0,0,0,0,0,1,1,81.95,81.95,0,1,0,0,0,1,0,0,0,1
332,0,0,0,46,1,1,0,1,1,0,1,0,1,94.9,4422.95,1,1,0,0,1,0,0,1,0,0
5486,0,0,0,54,1,1,1,0,1,1,1,1,0,87.1,4735.2,1,0,0,1,0,0,0,0,1,0
2106,0,1,1,55,1,0,1,0,0,0,0,1,0,59.45,3157.0,1,0,0,0,1,0,0,1,0,0
5138,1,0,0,71,1,1,0,1,0,1,1,1,1,106.8,7623.2,1,1,0,0,0,1,0,0,1,0
6768,0,1,1,72,1,1,1,1,1,1,1,1,0,117.5,8670.1,0,1,0,0,1,0,0,0,1,0
3573,0,1,1,28,1,0,0,0,0,0,0,0,1,19.55,543.8,0,0,1,1,0,0,0,0,0,0
6473,0,0,0,1,1,0,0,0,1,0,1,1,0,94.4,94.4,0,1,0,0,0,1,0,0,0,1
2922,0,1,0,28,1,0,1,0,0,0,1,1,1,92.35,2602.9,0,1,0,0,0,0,1,0,0,1
3829,1,1,0,43,1,1,0,1,0,0,1,1,1,101.0,4388.4,1,1,0,0,0,1,0,0,0,1
1616,0,1,1,53,1,0,0,0,0,0,0,0,1,19.4,1110.35,1,0,1,0,0,0,1,0,1,0
6055,0,0,0,6,1,0,0,0,0,0,0,1,1,55.0,340.4,0,0,0,0,0,1,0,0,0,0
4056,0,0,0,3,0,0,0,1,0,0,1,1,1,50.6,155.35,0,0,0,0,0,1,0,0,0,1
3505,0,0,0,9,0,0,0,0,0,0,0,0,1,24.95,190.25,1,0,0,0,0,1,0,0,0,0
184,0,0,0,13,1,0,0,1,1,0,0,0,1,79.25,1111.65,0,1,0,0,0,1,0,0,0,1
3102,0,0,0,5,1,0,1,0,0,1,0,0,0,54.2,308.25,0,0,0,0,0,1,0,0,0,1
3744,0,0,0,26,1,0,0,1,0,0,0,0,0,75.5,2018.1,1,1,0,1,0,0,0,1,0,0
6191,1,0,0,42,1,1,0,0,1,0,0,0,0,55.65,2421.75,0,0,0,0,0,1,0,0,0,0
6437,0,1,1,19,1,1,0,0,0,0,0,0,1,24.9,467.7,0,0,1,1,0,0,0,0,1,0
6467,0,0,0,10,1,1,0,0,0,0,0,0,0,75.05,786.3,1,1,0,0,0,1,0,0,0,0
6401,0,0,1,3,1,0,1,0,0,1,0,0,1,55.1,154.65,0,0,0,0,0,0,1,0,0,1
2,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,0,0,0,0,0,1,0,0,1
6874,0,1,0,31,1,0,0,0,0,1,0,0,1,49.2,1498.55,0,0,0,0,0,0,1,0,0,0
4554,0,0,0,20,1,0,1,1,1,1,1,1,1,108.2,2203.7,1,1,0,1,0,0,0,0,0,0
322,0,0,0,1,1,0,0,0,0,0,0,0,1,44.8,44.8,1,0,0,0,0,1,0,0,0,0
4276,0,0,0,2,1,0,0,1,0,0,0,0,1,49.6,114.7,0,0,0,0,0,0,1,0,0,1
1991,0,1,1,45,1,1,0,1,1,0,1,1,0,78.75,3600.65,1,0,0,0,1,0,0,1,0,0
69,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,1,1,0,0,0,0,1,0,0,0
6848,0,1,0,2,1,0,0,0,1,0,1,1,0,69.0,147.8,0,0,0,0,1,0,0,0,0,0
1836,0,0,0,24,1,0,0,0,0,1,1,1,1,96.0,2122.45,1,1,0,0,0,1,0,0,0,1
3641,0,0,0,49,1,0,0,0,1,1,1,1,1,74.45,3721.9,0,0,0,1,0,0,0,0,1,0
1982,0,0,1,14,1,0,0,0,0,0,0,0,0,19.95,268.4,1,0,1,0,0,0,1,0,0,0
2879,1,1,0,70,1,1,0,1,1,0,1,1,1,102.95,7101.5,1,1,0,0,0,1,0,0,0,1
7034,0,0,0,67,1,1,1,1,1,0,1,0,1,102.95,6886.25,0,1,0,0,1,0,0,0,0,1
4945,0,1,1,20,1,0,0,0,0,0,0,0,0,20.05,400.0,1,0,1,0,0,0,1,0,1,0
511,0,0,0,61,1,1,1,0,1,0,1,1,1,106.45,6300.15,1,1,0,0,0,1,0,0,0,0
3316,0,1,0,26,0,0,1,1,1,0,1,0,0,47.85,1190.5,0,0,0,1,0,0,0,1,0,0
834,1,0,0,4,1,0,0,0,0,0,1,0,1,78.85,292.8,0,1,0,0,0,1,0,0,0,1
5092,0,1,1,7,1,0,0,0,0,0,0,0,0,20.45,150.75,0,0,1,0,0,0,1,0,0,0
5638,0,0,0,1,1,0,0,0,0,0,0,0,0,19.95,19.95,1,0,1,0,0,1,0,0,0,1
120,0,1,1,56,1,1,0,0,1,0,1,1,1,99.8,5515.45,0,1,0,0,1,0,0,1,0,0
5993,0,0,0,2,1,0,0,1,0,0,0,0,0,74.95,151.75,1,1,0,0,0,1,0,0,0,0
4725,0,0,0,1,1,1,0,0,1,1,0,0,0,62.05,62.05,1,0,0,0,0,0,1,0,0,1
770,0,0,0,11,1,0,0,0,0,0,0,0,1,20.45,237.3,1,0,1,0,1,0,0,0,0,0
6357,0,1,0,65,1,1,1,1,1,0,0,0,0,89.75,5769.6,1,1,0,0,0,1,0,1,0,1
4299,1,0,0,29,1,1,1,1,0,0,0,0,1,58.55,1718.95,0,0,0,1,0,0,0,0,0,0
1002,0,1,1,4,1,0,0,0,0,0,0,0,1,69.55,284.9,1,1,0,0,0,0,1,0,0,0
1975,0,0,0,21,1,0,0,0,0,0,0,0,0,19.6,390.4,1,0,1,0,0,0,1,0,1,0
1537,0,1,1,72,1,1,0,1,0,1,1,1,1,78.95,5730.15,0,0,0,0,0,1,0,0,1,0
6160,0,0,0,36,1,1,1,0,1,1,1,1,1,89.65,3348.1,0,0,0,0,1,0,0,1,0,0
133,0,0,0,1,0,0,0,0,0,0,0,1,1,35.45,35.45,1,0,0,0,0,1,0,0,0,1
3726,0,0,0,16,1,1,0,0,0,1,0,1,1,89.05,1448.6,1,1,0,0,1,0,0,0,0,1
3411,1,1,0,53,1,1,0,1,0,0,1,1,1,101.9,5549.4,1,1,0,0,0,1,0,0,0,1
4120,0,1,1,26,1,0,0,0,0,0,0,1,0,78.95,2034.25,1,1,0,1,0,0,0,1,0,0
6536,0,0,0,1,0,0,0,0,0,0,0,0,0,24.4,24.4,1,0,0,0,0,0,1,0,0,0
6710,0,1,1,48,1,0,1,0,1,1,1,0,0,69.7,3023.65,0,0,0,1,0,0,0,1,0,0
4417,0,0,1,1,1,0,0,0,0,0,0,0,1,70.45,70.45,1,1,0,0,0,0,1,0,0,1
3820,1,1,0,72,1,1,1,1,1,1,1,1,1,112.9,8061.5,1,1,0,0,1,0,0,0,0,0
591,0,1,1,46,1,1,0,0,0,0,0,0,0,24.9,1174.8,1,0,1,0,0,1,0,1,0,0
3400,0,0,0,18,1,1,0,0,0,0,1,0,0,84.3,1537.9,1,1,0,1,0,0,0,0,0,0
885,0,0,0,1,1,0,0,0,0,0,0,0,1,20.05,20.05,1,0,1,0,0,0,1,0,0,0
1247,0,1,1,24,1,1,0,1,1,0,0,0,0,83.15,2033.05,0,1,0,1,0,0,0,1,0,0
5902,0,1,0,9,1,0,0,1,0,0,0,0,0,50.85,466.6,0,0,0,0,0,0,1,0,0,0
934,0,0,0,12,0,0,1,0,0,1,0,0,1,33.6,435.45,0,0,0,0,0,0,1,1,0,0
891,0,1,1,50,1,1,0,1,1,0,1,1,1,103.85,5017.9,1,1,0,1,0,0,0,0,0,1
4277,0,0,0,6,1,0,0,0,0,0,0,0,1,20.95,109.5,0,0,1,0,0,0,1,0,0,0
524,0,1,0,34,1,1,0,0,1,0,1,1,1,100.05,3480.0,1,1,0,0,0,1,0,0,0,1
4913,0,0,1,14,1,0,1,1,1,1,0,1,0,76.1,1054.8,1,0,0,1,0,0,0,0,1,0
3590,0,1,0,50,1,0,0,0,0,0,0,0,1,19.85,943.1,0,0,1,1,0,0,0,1,0,0
5841,1,0,0,70,0,0,0,0,0,0,1,1,1,45.25,3264.45,1,0,0,0,0,1,0,1,0,1
1384,0,1,0,22,1,0,0,0,0,0,0,0,1,69.25,1554.0,0,1,0,0,0,1,0,0,0,1
690,0,0,0,1,1,0,0,0,0,0,0,0,1,20.45,20.45,1,0,1,0,0,0,1,0,0,0
5822,1,0,0,35,1,0,0,0,0,0,0,0,0,70.55,2419.0,0,1,0,0,0,1,0,0,0,0
5233,0,1,0,8,1,0,0,1,1,0,1,1,0,101.15,842.9,0,1,0,0,0,1,0,0,0,1
799,0,0,0,62,1,1,0,0,1,0,1,1,1,96.75,6125.4,1,1,0,0,0,1,0,1,0,1
826,1,1,0,7,1,1,0,0,0,0,1,1,1,95.6,644.35,1,1,0,1,0,0,0,0,0,1
1193,0,0,0,47,1,0,0,0,1,1,1,1,0,74.45,3510.3,0,0,0,0,0,0,1,0,1,0
6660,0,1,0,1,1,0,0,0,0,0,0,0,1,69.15,69.15,1,1,0,0,0,1,0,0,0,1
2607,1,0,0,1,1,0,0,0,0,0,0,0,1,69.75,69.75,1,1,0,0,0,1,0,0,0,1
830,0,1,0,50,1,1,1,1,0,1,1,1,0,108.55,5610.7,0,1,0,0,0,1,0,1,0,1
2093,0,0,1,10,1,1,0,0,0,0,0,0,0,24.8,223.9,1,0,1,0,1,0,0,0,0,0
5172,0,0,0,54,1,0,0,0,0,0,0,0,0,20.0,1149.65,1,0,1,0,0,0,1,0,1,0
4774,0,1,0,53,1,1,0,0,0,1,0,1,1,91.15,4862.5,0,1,0,0,0,1,0,1,0,0
1571,0,0,1,1,1,0,0,0,0,0,0,0,0,20.05,20.05,1,0,1,0,0,0,1,0,0,0
2227,0,1,1,58,1,0,0,0,0,0,0,0,1,19.55,1108.8,1,0,1,0,0,1,0,1,0,0
1125,1,1,0,39,1,1,0,1,1,0,1,1,1,105.65,4284.8,1,1,0,0,0,1,0,0,0,1
5112,0,0,0,7,1,0,0,0,0,0,0,0,0,20.05,164.85,0,0,1,0,0,0,1,0,0,1
6932,0,0,0,10,1,0,0,0,0,0,0,1,1,56.75,503.25,1,0,0,1,0,0,0,0,0,0
6804,0,1,1,5,1,0,1,0,1,0,0,1,1,90.35,434.5,1,1,0,0,0,0,1,0,0,0
3161,0,0,0,14,1,0,0,0,0,0,0,0,0,19.35,324.8,1,0,1,0,0,0,1,1,0,0
1331,0,0,0,1,0,0,0,0,0,0,0,0,1,25.15,25.15,0,0,0,0,0,0,1,0,0,0
4126,0,1,1,6,1,0,0,0,0,0,0,0,0,19.55,122.9,1,0,1,0,0,0,1,0,0,0
2377,0,0,1,47,1,0,1,1,0,0,0,0,1,55.3,2654.05,1,0,0,0,0,1,0,0,0,0
5061,1,1,1,55,1,1,1,0,1,1,1,0,0,76.25,4154.55,0,0,0,0,0,1,0,1,0,0
893,0,0,0,1,0,0,0,0,0,0,0,0,0,24.6,24.6,0,0,0,0,0,1,0,0,0,1
4643,0,0,0,3,1,1,0,0,0,1,1,0,1,65.25,209.9,1,0,0,0,0,0,1,0,0,0
2586,0,1,1,44,1,0,0,0,0,0,0,0,0,19.6,780.25,0,0,1,0,0,0,1,0,0,0
2425,0,0,0,26,1,0,0,0,0,0,0,0,1,20.3,511.25,1,0,1,0,0,1,0,0,0,0
981,0,1,1,40,1,0,0,0,0,0,0,0,0,19.6,808.95,1,0,1,0,0,0,1,0,1,0
2147,0,0,0,18,1,0,0,0,0,0,0,0,0,19.0,348.8,1,0,1,0,0,1,0,0,0,0
1271,0,0,0,53,0,0,1,1,1,1,1,0,1,53.6,2879.2,0,0,0,0,0,1,0,1,0,0
